analysis_type,outcome,bandwidth,se_type,cluster_spec,n_clusters_left,n_clusters_right,n_window,n_left,n_right,mean_left,mean_right,tau,se,ci95_low,ci95_high,p_value,outcome_family,definition
comparison,wins_next_string_any_prv,0.05,cluster_prv_election_party,cluster_prv_election_party,1138,637,2118,1394,724,0.058823529411764705,0.4157458563535912,0.186922232968666,0.046007824135375706,0.09674689766332963,0.2770975682740024,4.8480142089468714e-05,wins,string_any_prv
comparison,wins_next_string_any_prv,0.075,cluster_prv_election_party,cluster_prv_election_party,2197,819,3785,2761,1024,0.0373053241579138,0.443359375,0.2086774286091635,0.035855370267263674,0.1384009028853267,0.2789539543330003,5.88557425018621e-09,wins,string_any_prv
comparison,wins_next_string_any_prv,0.1,cluster_prv_election_party,cluster_prv_election_party,3014,932,5369,4070,1299,0.02800982800982801,0.4588144726712856,0.2427128614855491,0.030319857418484312,0.18328594094531986,0.30213978202577835,1.1102230246251565e-15,wins,string_any_prv
comparison,wins_next_string_same_prv,0.025,cluster_prv_election_party,cluster_prv_election_party,536,360,916,544,372,0.08639705882352941,0.3575268817204301,0.18515717164855666,0.06553373624425114,0.05652628581149413,0.3137880574856192,0.004835639192637631,wins,string_same_prv
comparison,wins_next_string_same_prv,0.05,cluster_prv_election_party,cluster_prv_election_party,1138,637,2118,1394,724,0.05595408895265423,0.4005524861878453,0.1837700630288782,0.0453965864203541,0.09479275364498416,0.27274737241277225,5.163439848576701e-05,wins,string_same_prv
comparison,wins_next_string_same_prv,0.075,cluster_prv_election_party,cluster_prv_election_party,2197,819,3785,2761,1024,0.03513219847881202,0.4287109375,0.20049774941641665,0.03533169382222194,0.13124762952486163,0.2697478693079717,1.3890925742998661e-08,wins,string_same_prv
comparison,wins_next_string_same_prv,0.1,cluster_prv_election_party,cluster_prv_election_party,3014,932,5369,4070,1299,0.026535626535626536,0.44418783679753654,0.23289297856472005,0.02981111453417271,0.17446319407774152,0.2913227630516986,5.551115123125783e-15,wins,string_same_prv
comparison,runs_next_any_prv,0.025,hc1,none,0,0,916,544,372,0.3492647058823529,0.6155913978494624,0.3240606859879446,0.07334436295067498,0.18030573460462163,0.4678156373712675,9.94596531689318e-06,runs,person_any_prv
comparison,runs_next_any_prv,0.05,hc1,none,0,0,2118,1394,724,0.33428981348637016,0.6187845303867403,0.27092137425020146,0.051891192099616415,0.1692146377349533,0.37262811076544966,1.7800658502764577e-07,runs,person_any_prv
comparison,runs_next_any_prv,0.075,hc1,none,0,0,3785,2761,1024,0.31510322346975733,0.6103515625,0.2735259196116805,0.04137935915048914,0.19242237567672177,0.3546294635466392,3.837952178287196e-11,runs,person_any_prv
comparison,runs_next_any_prv,0.1,hc1,none,0,0,5369,4070,1299,0.30982800982800984,0.6096997690531177,0.2792769656640973,0.03526517179681904,0.21015722894233202,0.3483967023858626,2.4424906541753444e-15,runs,person_any_prv
comparison,runs_next_same_prv,0.025,hc1,none,0,0,916,544,372,0.3272058823529412,0.6021505376344086,0.3468034202741072,0.072740698789099,0.20423165064747317,0.48937518990074125,1.8637160732470903e-06,runs,person_same_prv
