bin_idx,bandwidth,bin_left,bin_right,bin_center,bin_width,side,count,share,density,plot_bin,bin_in_side,count_ratio_near0,count_ratio_near0_add05,log_count_ratio_near0_add05,formal_test_feasible,log_density_jump,log_density_jump_se,log_density_jump_p_value,implied_density_ratio_at_cutoff
16,0.075,0.0050000000000000044,0.010000000000000009,0.007500000000000007,0.005,right,91,0.021336459554513482,4.2672919109026966,2,1,0.8958333333333334,0.8963730569948186,-0.10939859440710664,1,0.04429803924365672,0.1766997279010054,0.8020486097570034,1.0452938470552684
17,0.075,0.010000000000000009,0.015,0.012500000000000004,0.005,right,73,0.017116060961313014,3.4232121922626026,3,2,0.8958333333333334,0.8963730569948186,-0.10939859440710664,1,0.04429803924365672,0.1766997279010054,0.8020486097570034,1.0452938470552684
18,0.075,0.015,0.020000000000000004,0.0175,0.005,right,98,0.022977725674091443,4.5955451348182885,4,3,0.8958333333333334,0.8963730569948186,-0.10939859440710664,1,0.04429803924365672,0.1766997279010054,0.8020486097570034,1.0452938470552684
19,0.075,0.020000000000000004,0.02500000000000001,0.022500000000000006,0.005,right,86,0.020164126611957794,4.0328253223915596,5,4,0.8958333333333334,0.8963730569948186,-0.10939859440710664,1,0.04429803924365672,0.1766997279010054,0.8020486097570034,1.0452938470552684
20,0.075,0.02500000000000001,0.03,0.027500000000000004,0.005,right,93,0.021805392731535755,4.3610785463071515,6,5,0.8958333333333334,0.8963730569948186,-0.10939859440710664,1,0.04429803924365672,0.1766997279010054,0.8020486097570034,1.0452938470552684
21,0.075,0.03,0.035,0.0325,0.005,right,81,0.01899179366940211,3.798358733880422,7,6,0.8958333333333334,0.8963730569948186,-0.10939859440710664,1,0.04429803924365672,0.1766997279010054,0.8020486097570034,1.0452938470552684
22,0.075,0.035,0.04000000000000001,0.037500000000000006,0.005,right,91,0.021336459554513482,4.2672919109026966,8,7,0.8958333333333334,0.8963730569948186,-0.10939859440710664,1,0.04429803924365672,0.1766997279010054,0.8020486097570034,1.0452938470552684
23,0.075,0.04000000000000001,0.045,0.0425,0.005,right,76,0.017819460726846426,3.563892145369285,9,8,0.8958333333333334,0.8963730569948186,-0.10939859440710664,1,0.04429803924365672,0.1766997279010054,0.8020486097570034,1.0452938470552684
24,0.075,0.045,0.05,0.0475,0.005,right,69,0.016178194607268465,3.235638921453693,10,9,0.8958333333333334,0.8963730569948186,-0.10939859440710664,1,0.04429803924365672,0.1766997279010054,0.8020486097570034,1.0452938470552684
25,0.075,0.05,0.05500000000000001,0.052500000000000005,0.005,right,74,0.01735052754982415,3.47010550996483,11,10,0.8958333333333334,0.8963730569948186,-0.10939859440710664,1,0.04429803924365672,0.1766997279010054,0.8020486097570034,1.0452938470552684
26,0.075,0.05500000000000001,0.06000000000000001,0.05750000000000001,0.005,right,78,0.0182883939038687,3.6576787807737396,12,11,0.8958333333333334,0.8963730569948186,-0.10939859440710664,1,0.04429803924365672,0.1766997279010054,0.8020486097570034,1.0452938470552684
27,0.075,0.06000000000000001,0.06500000000000002,0.06250000000000001,0.005,right,65,0.015240328253223915,3.048065650644783,13,12,0.8958333333333334,0.8963730569948186,-0.10939859440710664,1,0.04429803924365672,0.1766997279010054,0.8020486097570034,1.0452938470552684
28,0.075,0.06500000000000002,0.06999999999999999,0.0675,0.005,right,55,0.012895662368112544,2.5791324736225087,14,13,0.8958333333333334,0.8963730569948186,-0.10939859440710664,1,0.04429803924365672,0.1766997279010054,0.8020486097570034,1.0452938470552684
29,0.075,0.06999999999999999,0.075,0.0725,0.005,right,66,0.015474794841735053,3.0949589683470107,15,14,0.8958333333333334,0.8963730569948186,-0.10939859440710664,1,0.04429803924365672,0.1766997279010054,0.8020486097570034,1.0452938470552684
0,0.1,-0.1,-0.09333333333333334,-0.09666666666666668,0.006666666666666667,left,324,0.05365126676602087,8.047690014903129,-15,0,1.0256410256410255,1.025531914893617,0.02521141934649607,1,-0.08242884162499386,0.16171510841972397,0.6102501671932266,0.9208769636337357
