analysis_type,outcome,bandwidth,se_type,cluster_spec,n_clusters_left,n_clusters_right,n_window,n_left,n_right,mean_left,mean_right,tau,se,ci95_low,ci95_high,p_value,subgroup,median_seats
heterogeneity_low_magnitude,runs_next,0.075,hc1,none,0,0,1383,885,498,0.3129943502824859,0.5883534136546185,0.2913076849839336,0.061950701622770825,0.1698843098033028,0.4127310601645644,2.5731020980579444e-06,low_magnitude,8.0
heterogeneity_low_magnitude,runs_next,0.1,hc1,none,0,0,2314,1687,627,0.2916419679905157,0.5773524720893142,0.29031866515316157,0.05284269581014163,0.18674698136528398,0.39389034894103914,3.928928116181396e-08,low_magnitude,8.0
heterogeneity_low_magnitude,wins_next,0.025,cluster_prv_election,cluster_prv_election,119,139,368,183,185,0.1092896174863388,0.372972972972973,0.28040155837950587,0.09480058028206487,0.09306399927648187,0.46773911748252983,0.0036080135200318164,low_magnitude,8.0
heterogeneity_low_magnitude,wins_next,0.05,cluster_prv_election,cluster_prv_election,194,201,774,419,355,0.07875894988066826,0.39436619718309857,0.24395261010774597,0.06720130963476478,0.11149135215701089,0.37641386805848104,0.0003543662252480928,low_magnitude,8.0
heterogeneity_low_magnitude,wins_next,0.075,cluster_prv_election,cluster_prv_election,229,234,1383,885,498,0.04971751412429379,0.41967871485943775,0.2270601275105116,0.054123088218523456,0.1204431840257951,0.33367707099522814,3.838567240888047e-05,low_magnitude,8.0
heterogeneity_low_magnitude,wins_next,0.1,cluster_prv_election,cluster_prv_election,243,250,2314,1687,627,0.03023117960877297,0.4226475279106858,0.23958926567985012,0.046370773538224885,0.14826210169462006,0.33091642966508017,4.870666665546253e-07,low_magnitude,8.0
heterogeneity_low_magnitude,wins_next,0.025,cluster_prv_election_party,cluster_prv_election_party,183,185,368,183,185,0.1092896174863388,0.372972972972973,0.28040155837950587,0.09040755558749144,0.10261971595582758,0.45818340080318415,0.0020742216549098913,low_magnitude,8.0
heterogeneity_low_magnitude,wins_next,0.05,cluster_prv_election_party,cluster_prv_election_party,419,355,774,419,355,0.07875894988066826,0.39436619718309857,0.24395261010774597,0.06641741157100127,0.11356216054217577,0.37434305967331616,0.0002570906302794551,low_magnitude,8.0
heterogeneity_low_magnitude,wins_next,0.075,cluster_prv_election_party,cluster_prv_election_party,883,494,1383,885,498,0.04971751412429379,0.41967871485943775,0.2270601275105116,0.053813686255763056,0.12158530244921602,0.3325349525718072,2.449804009208023e-05,low_magnitude,8.0
heterogeneity_low_magnitude,wins_next,0.1,cluster_prv_election_party,cluster_prv_election_party,1662,592,2314,1687,627,0.03023117960877297,0.4226475279106858,0.23958926567985012,0.04610166283884771,0.1492300065157086,0.3299485248439916,2.025557854778981e-07,low_magnitude,8.0
heterogeneity_low_magnitude,wins_next,0.025,hc1,none,0,0,368,183,185,0.1092896174863388,0.372972972972973,0.28040155837950587,0.09040755558749178,0.10320274942802199,0.45760036733098974,0.0019252471196171683,low_magnitude,8.0
heterogeneity_low_magnitude,wins_next,0.05,hc1,none,0,0,774,419,355,0.07875894988066826,0.39436619718309857,0.24395261010774597,0.06640372987626433,0.11380129955026788,0.374103920665224,0.0002389897143990627,low_magnitude,8.0
heterogeneity_low_magnitude,wins_next,0.075,hc1,none,0,0,1383,885,498,0.04971751412429379,0.41967871485943775,0.2270601275105116,0.05378103565785344,0.12164929762111885,0.33247095739990434,2.422121523415477e-05,low_magnitude,8.0
heterogeneity_low_magnitude,wins_next,0.1,hc1,none,0,0,2314,1687,627,0.03023117960877297,0.4226475279106858,0.23958926567985012,0.04605936697899519,0.14931290640101955,0.32986562495868066,1.9742174917070088e-07,low_magnitude,8.0
