candidate,person_id,person_id_source,election_ym,prv_code,p_code,list_pos
maria dolores suarez bilbao,pid_exact_0020649,person_id_map,200403,3,43,4
pedro nemesio lopez gomez,pid_exact_0026143,person_id_map,200403,3,43,5
monica gadea lobato,pid_exact_0024503,person_id_map,200403,3,43,6
antonia olivares villena,pid_exact_0002771,person_id_map,200403,3,43,7
rafal pena morales,pid_exact_0026603,person_id_map,200403,3,43,8
migul horga bustamante,pid_exact_0024117,person_id_map,200403,3,43,9
maria rosa herrero fernandez pacheco,pid_exact_0022442,person_id_map,200403,3,43,10
teresa ruiz ferrer,pid_exact_0029320,person_id_map,200403,3,43,11
enriqu antiguedad sanchez,pid_exact_0007349,person_id_map,200403,3,49,1
rafal sarandeses fernandez santa eulalia,pid_exact_0026638,person_id_map,200403,3,49,2
julio luis marti gomis,pid_exact_0016484,person_id_map,200403,3,49,3
hemenegildo penalver galvez,pid_exact_0010319,person_id_map,200403,3,49,4
diego cano cantero,pid_exact_0006327,person_id_map,200403,3,49,5
jorge galvez benaches,pid_exact_0012821,person_id_map,200403,3,49,6
juan agustin ferrer flores,pid_exact_0015150,person_id_map,200403,3,49,7
jacinto navarro martinez,pid_exact_0011403,person_id_map,200403,3,49,8
juan lopez pastor,pid_exact_0015813,person_id_map,200403,3,49,9
maria teresa limorte juan,pid_exact_0022765,person_id_map,200403,3,49,10
francisco vicente sanchez sanchez,pid_exact_0009521,person_id_map,200403,3,49,11
daniel navarro miralles,pid_exact_0005870,person_id_map,200403,3,52,1
joaquin belmonte moreno,pid_exact_0012470,person_id_map,200403,3,52,2
antonio pablo matovelle gomez,pid_exact_0003257,person_id_map,200403,3,52,3
francisco jose belda mira,pid_exact_0009236,person_id_map,200403,3,52,4
jose garcia miralles,pid_exact_0013616,person_id_map,200403,3,52,5
manul martinez albeza,pid_exact_0018214,person_id_map,200403,3,52,6
alberto gutierrez rubio,pid_exact_0000567,person_id_map,200403,3,52,7
jose antonio ramirez garcia,pid_exact_0013251,person_id_map,200403,3,52,8
francisco javier espanol gimeno,pid_exact_0009032,person_id_map,200403,3,52,9
felix romo vega,pid_exact_0008245,person_id_map,200403,3,52,10
migul morales tejedo,pid_exact_0024156,person_id_map,200403,3,52,11
jose francisco de la arada sanz de orminjana,pid_exact_0013558,person_id_map,200403,3,53,1
teresa rus carrasco,pid_exact_0029321,person_id_map,200403,3,53,2
ivan cruz de la paliza calzada,pid_exact_0011317,person_id_map,200403,3,53,3
migul angel garcia carretero,pid_exact_0023838,person_id_map,200403,3,53,4
simon condes lopez,pid_exact_0028857,person_id_map,200403,3,53,5
manul ganan miranda,pid_exact_0018056,person_id_map,200403,3,53,6
jose javier menendez rodriguz,pid_exact_0013739,person_id_map,200403,3,53,7
manul lopez salmeron,pid_exact_0018185,person_id_map,200403,3,53,8
francisco migul funtes gallego,pid_exact_0009388,person_id_map,200403,3,53,9
jose migul gallardo jimenez,pid_exact_0014532,person_id_map,200403,3,53,10
alfonso garcia alonso,pid_exact_0001021,person_id_map,200403,3,53,11
vicente sancho pauner,pid_exact_0029784,person_id_map,200403,3,85,1
francisco marco juan,pid_exact_0009361,person_id_map,200403,3,85,2
teofilo rico verdu,pid_exact_0029240,person_id_map,200403,3,85,3
alejandro abeledo mezquita,pid_exact_0000728,person_id_map,200403,3,85,4
tiburcio laiz gomez,pid_exact_0029342,person_id_map,200403,3,85,5
maria de los angeles terol gimenez,pid_exact_0019753,person_id_map,200403,3,85,6
migul murcia macia,pid_exact_0024161,person_id_map,200403,3,85,7
moises antonio guillamon soto,pid_exact_0024450,person_id_map,200403,3,85,8
rosa maria valls kotchoumian,pid_exact_0027740,person_id_map,200403,3,85,9
juan carlos lloret llinares,pid_exact_0015419,person_id_map,200403,3,85,10
maria trinidad montes lopez,pid_exact_0022888,person_id_map,200403,3,85,11
enriqu jose ravello barber,pid_exact_0007435,person_id_map,200403,3,90,1
jesus fernando vicente ramajo,pid_exact_0012026,person_id_map,200403,3,90,2
antonio luis marichal jimenez,pid_exact_0003138,person_id_map,200403,3,90,3
carlos borrego gonzalez,pid_exact_0004341,person_id_map,200403,3,90,4
carlos rebullida millan,pid_exact_0004612,person_id_map,200403,3,90,5
david balsera dona,pid_exact_0005968,person_id_map,200403,3,90,6
javier porcel perez,pid_exact_0011825,person_id_map,200403,3,90,7
carlos hernandez moya,pid_exact_0004458,person_id_map,200403,3,90,8
genis garcia calero,pid_exact_0009772,person_id_map,200403,3,90,9
jorge amate lopez,pid_exact_0012764,person_id_map,200403,3,90,10
antonio sanchez comasolivas,pid_exact_0003348,person_id_map,200403,3,90,11
chus molina lara,pid_exact_0005221,person_id_map,200403,3,97,1
francisca orts sempere,pid_exact_0008715,person_id_map,200403,3,97,2
david alejandro reyes diaz,pid_exact_0005948,person_id_map,200403,3,97,3
josefina serra contreras,pid_exact_0014972,person_id_map,200403,3,97,4
enriqu jeronimo jimenez matia,pid_exact_0007425,person_id_map,200403,3,97,5
benjamin macia martinez,pid_exact_0003995,person_id_map,200403,3,97,6
carlos llorens ares,pid_exact_0004515,person_id_map,200403,3,97,7
maria teresa rojo garrido,pid_exact_0022845,person_id_map,200403,3,97,8
carlos macia martinez,pid_exact_0004525,person_id_map,200403,3,97,9
alberto ferreiro prieto,pid_exact_0000554,person_id_map,200403,3,97,10
juan blasco lopez,pid_exact_0015331,person_id_map,200403,3,97,11
rafal joaquin mira zaplana,pid_exact_0026539,person_id_map,200403,3,101,1
bernabe calvo martin,pid_exact_0004003,person_id_map,200403,3,101,2
maria luisa felipe dominguz,pid_exact_0021762,person_id_map,200403,3,101,3
luis alfageme diego,pid_exact_0017295,person_id_map,200403,3,101,4
maria josefa inigo rodriguz,pid_exact_0021587,person_id_map,200403,3,101,5
maria concepcion naranjo fernandez,pid_exact_0019493,person_id_map,200403,3,101,6
cristina amoros herrero,pid_exact_0005509,person_id_map,200403,3,101,7
jose ramon sanchez berengur,pid_exact_0014690,person_id_map,200403,3,101,8
maria teresa calvo inigo,pid_exact_0022694,person_id_map,200403,3,101,9
alejandro del ojo pinar,pid_exact_0000774,person_id_map,200403,3,101,10
eulogio amoros pujante,pid_exact_0007862,person_id_map,200403,3,101,11
gines saura fernandez,pid_exact_0009880,person_id_map,200403,3,111,1
maria dolores jimenez munoz,pid_exact_0020569,person_id_map,200403,3,111,2
maria monserrat uriarte estarellas,pid_exact_0022059,person_id_map,200403,3,111,3
vicente daniel alcaraz mira,pid_exact_0029700,person_id_map,200403,3,111,4
migul marcos alonso,pid_exact_0024145,person_id_map,200403,3,111,5
ramon fernandez jimenez,pid_exact_0026747,person_id_map,200403,3,111,6
pedro rodriguz irisarri,pid_exact_0026170,person_id_map,200403,3,111,7
emma espla oliver,pid_exact_0007216,person_id_map,200403,3,111,8
onofre miron martinez,pid_exact_0025258,person_id_map,200403,3,111,9
rodrigo ruiz mora,pid_exact_0027483,person_id_map,200403,3,111,10
urbano daniel mandado garcia,pid_exact_0029470,person_id_map,200403,3,111,11
raul sempere dura,pid_exact_0027100,person_id_map,200403,3,117,1
maria inmaculada roig bonastre,pid_exact_0021083,person_id_map,200403,3,117,2
migul cuqurella aragon,pid_exact_0024061,person_id_map,200403,3,117,3
ana maria calandra reula,pid_exact_0001774,person_id_map,200403,3,117,4
david calandra reula,pid_exact_0005983,person_id_map,200403,3,117,5
maria del pilar recunco malavia,pid_exact_0020234,person_id_map,200403,3,117,6
juan francisco piqur perez,pid_exact_0015598,person_id_map,200403,3,117,7
angeles perez escolano,pid_exact_0002582,person_id_map,200403,3,117,8
alejandro rogla irun,pid_exact_0000874,person_id_map,200403,3,117,9
jorge saurat vidal,pid_exact_0012938,person_id_map,200403,3,117,10
maria jesus lourdes montes alonso,pid_exact_0021319,person_id_map,200403,3,117,11
raqul martinez raja,pid_exact_0026940,person_id_map,200403,3,118,1
matias gonzalez pinos,pid_exact_0023564,person_id_map,200403,3,118,2
rosario gomiz garcia,pid_exact_0027819,person_id_map,200403,3,118,3
andres martinez diez,pid_exact_0002214,person_id_map,200403,3,118,4
maria carmen mesegur valero,pid_exact_0019352,person_id_map,200403,3,118,5
ezequiel clemente bertomeu,pid_exact_0008039,person_id_map,200403,3,118,6
arnaldo beltran ortiz,pid_exact_0003508,person_id_map,200403,3,118,7
francisco javier lopez munoz,pid_exact_0009105,person_id_map,200403,3,118,8
cristina poveda castillejo,pid_exact_0005640,person_id_map,200403,3,118,9
ramon irles juan,pid_exact_0026771,person_id_map,200403,3,118,10
jose francisco rodriguz marroqui,pid_exact_0013581,person_id_map,200403,3,118,11
federico trillo figuroa martinez conde,pid_exact_0008131,person_id_map,200403,3,130,1
macarena montesinos de migul,pid_exact_0017758,person_id_map,200403,3,130,2
francisco vicente murcia barcelo,pid_exact_0009520,person_id_map,200403,3,130,3
maria enriquta seller roca de togores,pid_exact_0020800,person_id_map,200403,3,130,4
inigo herrera martinez de campos,pid_exact_0010701,person_id_map,200403,3,130,5
migul antonio campoy suarez,pid_exact_0024011,person_id_map,200403,3,130,6
maria amparo ferrando sendra,pid_exact_0018793,person_id_map,200403,3,130,7
maria nieves martinez berengur,pid_exact_0022122,person_id_map,200403,3,130,8
jose camarasa matea,pid_exact_0013364,person_id_map,200403,3,130,9
fernando pastor llorens,pid_exact_0008470,person_id_map,200403,3,130,10
pedro joaquin mesegur diez,pid_exact_0026047,person_id_map,200403,3,130,11
jose font font,pid_exact_0013548,person_id_map,200403,3,135,1
fernando migul millan dominguz,pid_exact_0008447,person_id_map,200403,3,135,2
erick batiz royo,pid_exact_0007535,person_id_map,200403,3,135,3
jose maria martin ortola,pid_exact_0014411,person_id_map,200403,3,135,4
manul vicente furio nogura,pid_exact_0018383,person_id_map,200403,3,135,5
jose delgado marin,pid_exact_0013459,person_id_map,200403,3,135,6
rafal ruiz oliver,pid_exact_0026629,person_id_map,200403,3,135,7
consulo yuste serrano,pid_exact_0005447,person_id_map,200403,3,135,8
maria elia cordero ruiz,pid_exact_0020759,person_id_map,200403,3,135,9
fernando vicente gaona cordero,pid_exact_0008519,person_id_map,200403,3,135,10
maria jose font lopez,pid_exact_0021424,person_id_map,200403,3,135,11
leire pajin iraola,pid_exact_0016861,person_id_map,200403,3,146,1
carlos gonzalez serna,pid_exact_0004447,person_id_map,200403,3,146,2
juana serna masia,pid_exact_0016238,person_id_map,200403,3,146,3
agustin jimenez perez,pid_exact_0000280,person_id_map,200403,3,146,4
herick campos arteseros,pid_exact_0010324,person_id_map,200403,3,146,5
clemencia torrado rey,pid_exact_0005307,person_id_map,200403,3,146,6
amando vilaplana girones,pid_exact_0001409,person_id_map,200403,3,146,7
josefa gisbert villaplana,pid_exact_0014876,person_id_map,200403,3,146,8
jose diaz fernandez,pid_exact_0013460,person_id_map,200403,3,146,9
rafal baza gilabert,pid_exact_0026449,person_id_map,200403,3,146,10
maria vicenta crespo dominguz,pid_exact_0022914,person_id_map,200403,3,146,11
pedro martinez escribano,pid_exact_0026123,person_id_map,200403,3,154,1
mariana martinez venteo,pid_exact_0023043,person_id_map,200403,3,154,2
jose luis sanz fernandez,pid_exact_0014044,person_id_map,200403,3,154,3
maria virgen torres de la cruz,pid_exact_0022985,person_id_map,200403,3,154,4
baltasar david rodriguz aragon,pid_exact_0003716,person_id_map,200403,3,154,5
maria amparo fernandez ortega,pid_exact_0018792,person_id_map,200403,3,154,6
manul nieto garcia,pid_exact_0018257,person_id_map,200403,3,154,7
maria del carmen perdigones gonzalez,pid_exact_0019985,person_id_map,200403,3,154,8
jose luis porcel tarraga,pid_exact_0014005,person_id_map,200403,3,154,9
pedro antonio martinez antolinos,pid_exact_0025923,person_id_map,200403,3,154,10
maria lourdes herrero aguilar,pid_exact_0021697,person_id_map,200403,3,154,11
jose maldonado garrido,pid_exact_0014072,person_id_map,200403,4,1,1
martin salinas cazorla,pid_exact_0023522,person_id_map,200403,4,1,2
casimiro fernandez amador,pid_exact_0005038,person_id_map,200403,4,1,3
migul jose moya guirado,pid_exact_0024125,person_id_map,200403,4,1,4
indalecio gutierrez munoz,pid_exact_0010637,person_id_map,200403,4,1,5
jose fermin roman clemente,pid_exact_0013518,person_id_map,200403,4,2,1
maria dolores lopez cuadrado,pid_exact_0020578,person_id_map,200403,4,2,2
manul camacho garcia,pid_exact_0017943,person_id_map,200403,4,2,3
maria jesus ortega martinez,pid_exact_0021335,person_id_map,200403,4,2,4
serafin alarcon lopez,pid_exact_0028528,person_id_map,200403,4,2,5
juan jose ruiz ferre,pid_exact_0015785,person_id_map,200403,4,24,1
francisco josepablo romero sanchez,pid_exact_0009318,person_id_map,200403,4,24,2
ana martinez carreno,pid_exact_0001981,person_id_map,200403,4,24,3
genoveva concepcion marquz ibanez,pid_exact_0009773,person_id_map,200403,4,24,4
isabel salazar dominguz,pid_exact_0011169,person_id_map,200403,4,24,5
gregorio ambrosio cestero,pid_exact_0010037,person_id_map,200403,4,25,1
isabel maria luqu luqu,pid_exact_0011096,person_id_map,200403,4,25,2
ramon higuras higuras,pid_exact_0026764,person_id_map,200403,4,25,3
cristobal moya munoz,pid_exact_0005690,person_id_map,200403,4,25,4
joaquin francisco bermejo salas,pid_exact_0012497,person_id_map,200403,4,25,5
juan jesus barranco garcia,pid_exact_0015677,person_id_map,200403,4,34,1
patricia encarnacion heredia gimenez,pid_exact_0025721,person_id_map,200403,4,34,2
carlos villaure cararach,pid_exact_0004674,person_id_map,200403,4,34,3
ana maria bastos peralta,pid_exact_0001762,person_id_map,200403,4,34,4
nicolas cortina nieto,pid_exact_0024883,person_id_map,200403,4,34,5
gines de haro rossi,pid_exact_0009872,person_id_map,200403,4,52,1
manul martinez amate,pid_exact_0018215,person_id_map,200403,4,52,2
jose carlos cazorla cazorla,pid_exact_0013379,person_id_map,200403,4,52,3
francisco cara fernandez,pid_exact_0008834,person_id_map,200403,4,52,4
alejandro tomas toledano segovia,pid_exact_0000895,person_id_map,200403,4,52,5
david castillo san martin,pid_exact_0005993,person_id_map,200403,4,53,1
maria raqul bargados quintas,pid_exact_0022377,person_id_map,200403,4,53,2
mario junqura herrera,pid_exact_0023218,person_id_map,200403,4,53,3
jesus ignacio escarda lopez,pid_exact_0012069,person_id_map,200403,4,53,4
jose fernandez saiz,pid_exact_0013529,person_id_map,200403,4,53,5
maria rubi casado viejo,pid_exact_0022512,person_id_map,200403,4,65,1
