analysis_type,outcome,bandwidth,se_type,cluster_spec,n_clusters_left,n_clusters_right,n_window,n_left,n_right,mean_left,mean_right,tau,se,ci95_low,ci95_high,p_value,donut_radius
donut_hole,runs_next,0.1,hc1,none,0,0,5301,4036,1265,0.27998017839444994,0.5865612648221344,0.24442205150346688,0.03729314459518994,0.1713274880968946,0.31751661491003913,5.598788099803187e-11,0.0025
donut_hole,runs_next,0.1,hc1,none,0,0,5214,3989,1225,0.27851591877663573,0.5853061224489796,0.24668211298666035,0.03944019432683975,0.16937933210605444,0.32398489386726625,3.985700658404312e-10,0.005
donut_hole,wins_next,0.025,cluster_prv_election,cluster_prv_election,191,205,889,530,359,0.08679245283018867,0.35376044568245124,0.1144515900379861,0.06919840116046755,-0.021895367651008524,0.25079854772698074,0.09950510100340226,0.001
donut_hole,wins_next,0.025,cluster_prv_election,cluster_prv_election,184,196,848,510,338,0.08431372549019608,0.35798816568047337,0.11960677441524145,0.08023214302567738,-0.038495749355783676,0.27770929818626655,0.13742539781499197,0.0025
donut_hole,wins_next,0.025,cluster_prv_election,cluster_prv_election,170,182,761,463,298,0.08207343412526998,0.36577181208053694,0.04435033205000291,0.09828004940927264,-0.1493356915871993,0.23803635568720513,0.6522411630461953,0.005
donut_hole,wins_next,0.05,cluster_prv_election,cluster_prv_election,282,286,2091,1380,711,0.05579710144927536,0.39943741209563993,0.1542433136683599,0.04770657443168233,0.06036516688050554,0.24812146045621425,0.0013593129064386478,0.001
donut_hole,wins_next,0.05,cluster_prv_election,cluster_prv_election,279,282,2050,1360,690,0.054411764705882354,0.4028985507246377,0.16151636080934875,0.05103836203543346,0.061079165964571636,0.26195355565412587,0.0017118191366793933,0.0025
donut_hole,wins_next,0.05,cluster_prv_election,cluster_prv_election,275,276,1963,1313,650,0.05255140898705255,0.40923076923076923,0.15711930299066934,0.0559768247627034,0.046963823244270037,0.2672747827370686,0.005329013746870004,0.005
donut_hole,wins_next,0.075,cluster_prv_election,cluster_prv_election,318,323,3758,2747,1011,0.03494721514379323,0.42828882294757664,0.18382065668082395,0.03692576704022658,0.11118026252582108,0.2564610508358268,1.0378573864766594e-06,0.001
donut_hole,wins_next,0.075,cluster_prv_election,cluster_prv_election,317,319,3717,2727,990,0.034103410341034104,0.4313131313131313,0.19072580163925063,0.03844035048824326,0.11510506669449612,0.26634653658400514,1.1249302429572339e-06,0.0025
donut_hole,wins_next,0.075,cluster_prv_election,cluster_prv_election,317,315,3630,2680,950,0.03283582089552239,0.4368421052631579,0.19566771975277308,0.04034062872271857,0.11630871408817972,0.27502672541736645,1.9071055781250124e-06,0.005
donut_hole,wins_next,0.1,cluster_prv_election,cluster_prv_election,332,339,5342,4056,1286,0.02638067061143984,0.4440124416796267,0.22264488376356986,0.03190375796720714,0.15989062379214827,0.2853991437349914,1.5742740444579795e-11,0.001
donut_hole,wins_next,0.1,cluster_prv_election,cluster_prv_election,332,337,5301,4036,1265,0.02576808721506442,0.44664031620553357,0.23021197006974067,0.03278338035330832,0.16572750477420606,0.2946964353652753,1.1997070004099442e-11,0.0025
donut_hole,wins_next,0.1,cluster_prv_election,cluster_prv_election,332,336,5214,3989,1225,0.024818250188017046,0.4514285714285714,0.2398580776040579,0.03352033165548532,0.1739240390748425,0.3057921161332733,5.183631301974856e-12,0.005
donut_hole,wins_next,0.025,cluster_prv_election_party,cluster_prv_election_party,524,349,889,530,359,0.08679245283018867,0.35376044568245124,0.1144515900379861,0.06982575973683301,-0.022609185752508587,0.2515123658284808,0.10158018814610781,0.001
donut_hole,wins_next,0.025,cluster_prv_election_party,cluster_prv_election_party,506,330,848,510,338,0.08431372549019608,0.35798816568047337,0.11960677441524145,0.07904846252366596,-0.0355680176090728,0.2747815664395557,0.13066713116049078,0.0025
donut_hole,wins_next,0.025,cluster_prv_election_party,cluster_prv_election_party,462,293,761,463,298,0.08207343412526998,0.36577181208053694,0.04435033205000291,0.109149375253533,-0.16994798722684398,0.2586486513268498,0.6846262254406601,0.005
donut_hole,wins_next,0.05,cluster_prv_election_party,cluster_prv_election_party,1127,627,2091,1380,711,0.05579710144927536,0.39943741209563993,0.1542433136683599,0.0467015796494021,0.06270821755553177,0.245778409781188,0.0009574410423915936,0.001
donut_hole,wins_next,0.05,cluster_prv_election_party,cluster_prv_election_party,1109,610,2050,1360,690,0.054411764705882354,0.4028985507246377,0.16151636080934875,0.04977588357806621,0.06395562899633897,0.25907709262235856,0.0011750351220054522,0.0025
donut_hole,wins_next,0.05,cluster_prv_election_party,cluster_prv_election_party,1073,580,1963,1313,650,0.05255140898705255,0.40923076923076923,0.15711930299066934,0.05738630900551946,0.0446421373398512,0.26959646864148745,0.006182852517956139,0.005
donut_hole,wins_next,0.075,cluster_prv_election_party,cluster_prv_election_party,2189,812,3758,2747,1011,0.03494721514379323,0.42828882294757664,0.18382065668082395,0.035905486054801636,0.11344590401341274,0.25419540934823515,3.062327524894215e-07,0.001
donut_hole,wins_next,0.075,cluster_prv_election_party,cluster_prv_election_party,2176,797,3717,2727,990,0.034103410341034104,0.4313131313131313,0.19072580163925063,0.0375824753854567,0.11706414988375549,0.2643874533947458,3.877813723462964e-07,0.0025
donut_hole,wins_next,0.075,cluster_prv_election_party,cluster_prv_election_party,2151,772,3630,2680,950,0.03283582089552239,0.4368421052631579,0.19566771975277308,0.04087389844420733,0.11555487880212673,0.27578056070341944,1.6920275032195065e-06,0.005
donut_hole,wins_next,0.1,cluster_prv_election_party,cluster_prv_election_party,3008,925,5342,4056,1286,0.02638067061143984,0.4440124416796267,0.22264488376356986,0.030277754149529282,0.1633004856304925,0.28198928189664724,1.9317880628477724e-13,0.001
donut_hole,wins_next,0.1,cluster_prv_election_party,cluster_prv_election_party,2996,912,5301,4036,1265,0.02576808721506442,0.44664031620553357,0.23021197006974067,0.031273356337229725,0.16891619164877042,0.2915077484907109,1.8207657603852567e-13,0.0025
donut_hole,wins_next,0.1,cluster_prv_election_party,cluster_prv_election_party,2974,891,5214,3989,1225,0.024818250188017046,0.4514285714285714,0.2398580776040579,0.033144370557870194,0.17489511131063232,0.30482104389748343,4.594102875898898e-13,0.005
donut_hole,wins_next,0.025,hc1,none,0,0,889,530,359,0.08679245283018867,0.35376044568245124,0.1144515900379861,0.07009072321665458,-0.022926227466656873,0.25182940754262906,0.10248868536332911,0.001
